id,text,option_a,option_b,option_c,option_d,correct,source,topic,type
300,Which table-of-contents entry in ASME A17.1 would be the most likely starting point for wiring methods?,"wiring methods section for hoistways, pits, and related construction",Machine rooms and spaces,Maintenance control program,General requirements for wiring methods,B,ASME A17.1,table of contents navigation,toc_navigation
301,You need inspection guidance for hall stations. Which ASME A17.2 section should you check first?,New installation design rules,Personnel hoists only,Accessibility scoping,Inspection guidance for hall stations,D,ASME A17.2,inspection procedures,toc_navigation
302,"In ASME A17.2, what is the best starting section for an inspector researching elevator lobby protection?",Personnel hoists only,Inspection guidance for elevator lobby protection,Accessibility scoping,New installation design rules,B,ASME A17.2,inspection procedures,toc_navigation
303,"A field question points to overcurrent protection. Using ASME A17.2, where should you begin looking?",New installation design rules,Personnel hoists only,Inspection guidance for overcurrent protection,Accessibility scoping,C,ASME A17.2,inspection procedures,toc_navigation
304,You need inspection guidance for machinery spaces. Which ASME A17.2 section should you check first?,Inspection guidance for machinery spaces,New installation design rules,Accessibility scoping,Personnel hoists only,A,ASME A17.2,inspection procedures,toc_navigation
305,"In ASME A17.2, what is the best starting section for an inspector researching hoistways?",Inspection guidance for hoistways,Personnel hoists only,Accessibility scoping,New installation design rules,A,ASME A17.2,inspection procedures,toc_navigation
306,"A field question points to buffers. Using ASME A17.2, where should you begin looking?",Accessibility scoping,New installation design rules,Inspection guidance for buffers,Personnel hoists only,C,ASME A17.2,inspection procedures,toc_navigation
307,You need inspection guidance for door reopening devices. Which ASME A17.2 section should you check first?,New installation design rules,Personnel hoists only,Inspection guidance for door reopening devices,Accessibility scoping,C,ASME A17.2,inspection procedures,toc_navigation
308,"In ASME A17.2, what is the best starting section for an inspector researching standby power?",Inspection guidance for standby power,Accessibility scoping,New installation design rules,Personnel hoists only,A,ASME A17.2,inspection procedures,toc_navigation
309,"A field question points to controller access. Using ASME A17.2, where should you begin looking?",Accessibility scoping,Inspection guidance for controller access,New installation design rules,Personnel hoists only,B,ASME A17.2,inspection procedures,toc_navigation
310,You need inspection guidance for top-of-car clearances. Which ASME A17.2 section should you check first?,Personnel hoists only,Accessibility scoping,New installation design rules,Inspection guidance for top-of-car clearances,D,ASME A17.2,inspection procedures,toc_navigation
311,"In ASME A17.2, what is the best starting section for an inspector researching escalator skirt panels?",New installation design rules,Inspection guidance for escalator skirt panels,Personnel hoists only,Accessibility scoping,B,ASME A17.2,inspection procedures,toc_navigation
312,"A field question points to combplates. Using ASME A17.2, where should you begin looking?",New installation design rules,Personnel hoists only,Inspection guidance for combplates,Accessibility scoping,C,ASME A17.2,inspection procedures,toc_navigation
